bzn,zone_name,country,role,month,mean_eur_mwh,p10_eur_mwh,p90_eur_mwh,volatility_eur_mwh,negative_hours,hour_count,source_url,license,mean_usd_kwh,p10_usd_kwh,p90_usd_kwh,volatility_usd_kwh,fx_usd_per_eur,fx_source_url,as_of_date,confidence
DE-LU,Germany/Luxembourg,DE,constrained,2026-02,96.50430431547619,59.779500000000006,128.76275,28.64572263837466,7,672,https://api.energy-charts.info/price?bzn=DE-LU&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.11226972998997395,0.06954537801749999,0.14979807665375,0.03332543111719274,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
DE-LU,Germany/Luxembourg,DE,constrained,2026-03,99.4597244623656,8.008749999999997,161.79525000000004,54.5550589236557,35,744,https://api.energy-charts.info/price?bzn=DE-LU&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.11570796234915996,0.009317099443749997,0.18822693101625004,0.06346744612471872,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
DE-LU,Germany/Luxembourg,DE,constrained,2026-04,78.42571527777778,-5.281499999999998,144.03525,70.71934156737753,123,720,https://api.energy-charts.info/price?bzn=DE-LU&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.09123773225413195,-0.006144312247499998,0.16756556861624997,0.08227240680253216,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
DE-LU,Germany/Luxembourg,DE,constrained,2026-05,97.61508736559139,-0.006750000000000007,153.10275000000001,68.89122635759647,77,744,https://api.energy-charts.info/price?bzn=DE-LU&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.11356197611307123,-7.852713750000008e-06,0.17811438075375002,0.0801456415515052,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
DE-LU,Germany/Luxembourg,DE,constrained,2026-06,109.57960069444445,5.021750000000002,167.33900000000003,78.73979945617782,52,720,https://api.energy-charts.info/price?bzn=DE-LU&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.12748107216189236,0.005842128188750002,0.19467633573500004,0.0916031267943363,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
DE-LU,Germany/Luxembourg,DE,constrained,2026-07,105.4695934139785,-0.009250000000000006,168.14700000000002,61.761788860110606,79,744,https://api.energy-charts.info/price?bzn=DE-LU&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.1226996335420531,-1.0761126250000008e-05,0.19561633465500003,0.07185150349724258,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
DE-LU,Germany/Luxembourg,DE,constrained,2026-08,124.91289893617021,7.1247500000000095,180.0385,60.882171221314024,5,94,https://api.energy-charts.info/price?bzn=DE-LU&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.14531929467087765,0.00828868478375001,0.20945048955249998,0.070828187122884,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
FR,France,FR,constrained,2025-12,75.19,75.19,75.19,,0,1,https://api.energy-charts.info/price?bzn=FR&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.08747341435,0.08747341435,0.08747341435,,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
FR,France,FR,constrained,2026-01,100.69524529569892,73.56875,131.65,27.474460309447437,0,744,https://api.energy-charts.info/price?bzn=FR&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.11714532404343078,0.08558730884375,0.15315700225,0.03196282551790032,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
FR,France,FR,constrained,2026-02,45.90705729166667,0.553500000000002,101.53549999999998,38.63758319622519,30,672,https://api.energy-charts.info/price?bzn=FR&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.053406663706119795,0.0006439225275000023,0.11812284695749997,0.04494961197507651,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
